Tolerance,Accuracy,Calibrated X,Calibrated Y,Calibrated Z
2437,94.32516,-0.4806311,2.087856,0.4972901
2183,94.91663,-0.4806311,2.087856,0.4972901
868,97.97876,-0.4806311,2.087856,0.4972901
2747,93.60329,-0.4806311,2.087856,0.4972901
3154,92.65555,-0.4806311,2.087856,0.4972901
11552,73.09985,-0.4806311,2.087856,0.4972901
15249,64.49097,-0.4806311,2.087856,0.4972901
30073,29.97159,-0.4806311,2.087856,0.4972901
31445,26.77673,-0.4806311,2.087856,0.4972901
2136,95.02608,-0.3725682,1.843939,0.3005195
2081,95.15415,-0.3725682,1.843939,0.3005195
1899,95.57796,-0.3725682,1.843939,0.3005195
1579,96.32312,-0.3725682,1.843939,0.3005195
3344,92.21311,-0.3725682,1.843939,0.3005195
4678,89.10674,-0.3725682,1.843939,0.3005195
11484,73.25819,-0.3725682,1.843939,0.3005195
15916,62.93778,-0.3725682,1.843939,0.3005195
16644,61.24255,-0.3725682,1.843939,0.3005195
17483,59.28884,-0.3725682,1.843939,0.3005195
33114,22.89028,-0.3725682,1.843939,0.3005195
573,98.6657,-0.0151137,2.108012,0.2610434
1150,97.32209,-0.0151137,2.108012,0.2610434
3349,92.20147,-0.0151137,2.108012,0.2610434
6422,85.04564,-0.0151137,2.108012,0.2610434
11156,74.02198,-0.0151137,2.108012,0.2610434
11277,73.74022,-0.0151137,2.108012,0.2610434
11990,72.07992,-0.0151137,2.108012,0.2610434
13003,69.72103,-0.0151137,2.108012,0.2610434
13851,67.74637,-0.0151137,2.108012,0.2610434
1140,97.34538,-0.1091089,1.467027,0.323467
1163,97.29182,-0.1091089,1.467027,0.323467
931,97.83206,-0.1091089,1.467027,0.323467
1067,97.51537,-0.1091089,1.467027,0.323467
1190,97.22895,-0.1091089,1.467027,0.323467
1913,95.54536,-0.1091089,1.467027,0.323467
3215,92.5135,-0.1091089,1.467027,0.323467
3545,91.74506,-0.1091089,1.467027,0.323467
3626,91.55644,-0.1091089,1.467027,0.323467
4931,88.5176,-0.1091089,1.467027,0.323467
5435,87.34399,-0.1091089,1.467027,0.323467
12460,70.98547,-0.1091089,1.467027,0.323467
14206,66.91971,-0.1091089,1.467027,0.323467
15465,63.98798,-0.1091089,1.467027,0.323467
16690,61.13543,-0.1091089,1.467027,0.323467
